product_id,category,product_name,price
1,Sports,Everlast Heavy Punching Bag,35000.0
2,Electronics,Logitech MX Keys Advanced Wireless Keyboard,25000.0
3,Electronics,DJI Avata FPV Drone,225000.0
4,Books,The Mountain Is You by Brianna Wiest,1800.0
5,Books,Grit by Angela Duckworth,1800.0
6,Electronics,Samsung Galaxy Z Fold 4,225000.0
7,Books,Tools of Titans by Tim Ferriss,2500.0
8,Clothing,Reebok Sports Bra,5000.0
9,Electronics,Sony WH-1000XM4,45000.0
10,Clothing,Columbia Hiking Jacket,18000.0
11,Electronics,Nikon D7500,135000.0
12,Home & Kitchen,Eureka Forbes Smart Water Purifier,70000.0
13,Electronics,Corsair K95 RGB Mechanical Keyboard,30000.0
14,Beauty,Lancome Advanced Genifique Serum,11000.0
15,Clothing,H&M Slim Fit Chinos,8000.0
16,Sports,Decathlon Quechua 2-Person Camping Tent,40000.0
17,Home & Kitchen,Morphy Richards Coffee Grinder,18000.0
18,Electronics,Sony WF-1000XM5 Wireless Earbuds,45000.0
19,Books,The Ride of a Lifetime by Bob Iger,1800.0
20,Home & Kitchen,Dyson Cordless Vacuum Cleaner,85000.0
21,Home & Kitchen,Panasonic 32L Convection Microwave,60000.0
22,Electronics,Bose QuietComfort Ultra Headphones,70000.0
23,Home & Kitchen,Breville Barista Express Coffee Machine,125000.0
24,Books,Atomic Habits by James Clear,1600.0
25,Beauty,Huda Beauty Eyeshadow Palette,6200.0
26,Sports,Nike ZoomX Vaporfly NEXT% 2 Running Shoes,42000.0
27,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,1800.0
28,Beauty,Kosas Tinted Face Oil,4800.0
29,Electronics,Corsair iCUE H150i Elite CPU Cooler,40000.0
30,Home & Kitchen,Tefal Cookware Set,18000.0
31,Home & Kitchen,Philips Smart LED Bulbs,5000.0
32,Electronics,MSI Gaming Monitor 27-inch,65000.0
33,Home & Kitchen,Eureka Forbes Water Purifier,60000.0
34,Home & Kitchen,Morphy Richards Toaster,6000.0
35,Sports,Yonex Nanoray 900 Badminton Racket,15000.0
36,Beauty,Tatcha The Essence,15000.0
37,Books,The Courage to Be Disliked by Ichiro Kishimi,2300.0
38,Electronics,Samsung Frame QLED 55-inch TV,210000.0
