user_id,product_id,interaction_type,timestamp,rating
614,899,view,2023-12-14,
239,923,click,2023-12-10,
524,453,view,2023-12-26,
392,343,view,2023-04-28,
354,616,view,2023-08-25,
514,64,purchase,2023-04-10,
454,550,view,2023-03-27,
801,645,view,2023-01-03,
409,522,click,2023-08-27,
858,937,purchase,2023-05-25,
645,384,click,2023-07-05,
882,315,view,2023-01-12,
349,241,click,2023-06-11,
393,948,click,2023-01-16,
770,665,view,2023-02-16,
883,546,view,2023-01-13,
884,257,click,2023-10-03,
53,380,purchase,2023-01-29,
56,868,click,2023-02-03,
873,436,click,2023-11-16,
308,987,view,2023-11-30,
438,562,view,2023-09-26,
863,135,click,2023-04-29,
471,215,view,2023-03-07,
276,999,view,2023-01-20,
551,525,view,2023-06-22,
199,780,view,2023-04-09,
916,445,view,2023-02-19,
409,926,view,2023-08-16,
678,120,view,2023-05-17,
528,859,view,2023-09-19,
55,257,purchase,2023-02-09,
442,839,view,2023-10-21,
563,235,click,2023-01-03,
97,243,purchase,2023-09-17,
335,759,view,2023-07-17,
348,887,view,2023-01-09,
815,959,view,2023-08-29,
693,983,view,2023-03-10,
178,476,purchase,2023-05-12,
963,609,rate,2023-07-19,3.0
271,959,click,2023-02-25,
702,255,purchase,2023-03-19,
255,866,purchase,2023-08-27,
937,975,click,2023-12-14,
409,687,view,2023-01-18,
959,901,view,2023-07-02,
235,183,click,2023-03-20,
732,882,view,2023-02-13,
212,662,view,2023-06-04,
307,189,purchase,2023-08-17,
390,806,click,2023-04-11,
771,98,click,2023-09-18,
427,769,view,2023-02-12,
607,342,view,2023-09-24,
555,879,click,2023-03-09,
448,107,view,2023-01-11,
753,532,click,2023-04-24,
30,291,click,2023-03-09,
118,532,view,2023-03-12,
673,288,purchase,2023-08-17,
236,51,click,2023-03-15,
871,238,click,2023-05-30,
318,300,view,2023-12-31,
297,105,view,2023-05-14,
778,125,view,2023-09-10,
871,897,view,2023-09-20,
483,808,view,2023-06-12,
694,41,view,2023-07-14,
811,170,click,2023-12-21,
633,818,view,2023-03-05,
598,40,view,2023-06-25,
68,962,purchase,2023-05-04,
753,94,view,2023-09-30,
178,926,view,2023-08-25,
62,204,view,2023-02-24,
619,712,click,2023-08-05,
741,758,view,2023-11-24,
479,833,click,2023-05-26,
828,338,view,2023-04-21,
857,664,view,2023-12-02,
848,639,view,2023-05-18,
845,194,click,2023-07-20,
563,787,view,2023-01-27,
541,597,purchase,2023-06-01,
726,41,click,2023-01-19,
708,332,click,2023-08-28,
477,41,view,2023-02-13,
52,839,click,2023-07-29,
530,826,click,2023-08-05,
578,545,click,2023-03-28,
319,297,purchase,2023-02-20,
411,218,click,2023-08-08,
252,803,click,2023-06-22,
318,628,view,2023-02-14,
418,390,click,2023-11-06,
963,497,purchase,2023-09-03,
823,460,view,2023-03-19,
239,923,click,2023-12-10,
199,208,view,2023-07-13,
377,30,view,2023-04-12,
452,746,click,2023-07-07,
658,718,rate,2023-05-20,4.0
971,842,rate,2023-08-23,5.0
15,788,view,2023-03-03,
860,921,view,2023-09-19,
50,640,purchase,2023-07-01,
808,788,purchase,2023-09-26,
521,920,view,2023-01-24,
10,205,click,2023-04-30,
947,510,click,2023-11-19,
547,60,view,2023-07-27,
765,255,click,2023-12-08,
549,122,view,2023-11-14,
712,554,purchase,2023-12-12,
980,369,view,2023-01-02,
939,547,rate,2023-12-14,2.0
630,641,purchase,2023-03-01,
29,121,click,2023-06-19,
239,29,click,2023-07-17,
953,409,view,2023-09-28,
197,4,view,2023-02-27,
196,321,click,2023-07-09,
998,369,click,2023-01-27,
939,996,click,2023-09-09,
12,629,view,2023-07-13,
901,491,view,2023-03-14,
713,570,view,2023-03-18,
285,365,purchase,2023-11-11,
625,920,view,2023-06-14,
207,803,purchase,2023-01-06,
850,868,view,2023-10-17,
928,183,view,2023-02-13,
914,176,click,2023-07-02,
68,133,click,2023-11-25,
212,352,view,2023-05-20,
737,651,view,2023-11-16,
457,628,rate,2023-01-07,4.0
398,594,click,2023-04-07,
962,831,click,2023-06-30,
490,546,click,2023-08-06,
294,98,view,2023-09-07,
64,431,rate,2023-06-27,4.0
526,558,purchase,2023-12-17,
610,113,click,2023-04-03,
162,536,click,2023-11-26,
878,766,view,2023-05-22,
8,889,click,2023-02-22,
369,649,view,2023-06-18,
916,290,click,2023-04-11,
667,136,view,2023-12-29,
496,708,click,2023-08-21,
217,824,click,2023-02-24,
131,258,view,2023-11-29,
528,210,view,2023-02-21,
252,522,view,2023-11-16,
529,358,click,2024-01-01,
939,547,rate,2023-12-14,2.0
81,662,view,2023-06-30,
733,551,click,2023-11-22,
533,278,click,2023-08-24,
897,117,view,2023-02-21,
453,996,click,2023-06-07,
960,57,view,2023-07-22,
303,263,purchase,2023-09-12,
385,501,view,2023-09-30,
31,518,click,2023-07-02,
889,318,click,2023-02-14,
238,818,view,2023-06-15,
685,939,view,2023-09-09,
136,521,view,2023-05-29,
414,354,click,2023-08-10,
690,170,view,2023-04-23,
444,46,rate,2023-07-10,1.0
95,464,view,2023-12-09,
125,19,purchase,2023-11-11,
950,708,click,2023-02-10,
959,57,view,2023-12-27,
88,838,purchase,2023-03-18,
412,261,view,2023-07-23,
532,357,click,2023-10-27,
238,675,view,2023-09-04,
918,246,click,2023-12-02,
989,175,view,2023-08-04,
366,208,purchase,2023-03-16,
113,855,rate,2023-12-17,1.0
689,485,view,2023-11-15,
129,31,view,2023-08-16,
187,888,click,2023-12-30,
715,598,click,2023-01-04,
73,481,view,2023-02-02,
196,441,view,2023-01-20,
336,939,rate,2023-10-15,2.0
554,263,view,2023-12-19,
316,446,click,2023-11-18,
20,998,view,2023-11-08,
490,350,purchase,2023-01-31,
